lemma,freq_ipm,rank
и,35801.8,1
в,31374.2,2
не,18028,3
на,15867.3,4
я,12684.4,5
быть,12160.7,6
он,11791.1,7
с,11311.9,8
что,8354,9
а,8198,10
по,5786.7,11
это,5707.8,12
она,5592.4,13
этот,5414,14
к,5389,15
но,5381.4,16
они,4850,17
мы,4704.8,18
как,4403.7,19
из,4314.1,20
у,4306.1,21
который,4209,22
то,3964.4,23
за,3904.1,24
свой,3825.5,25
что,3810.2,26
весь,3786.3,27
год,3727.5,28
от,3672.5,29
так,3440.4,30
о,3407.1,31
для,3229.3,32
ты,3171.2,33
же,3144.3,34
все,3106.8,35
тот,2967.1,36
мочь,2912.3,37
вы,2906.4,38
человек,2723,39
такой,2696.8,40
его,2577.9,41
сказать,2396.6,42
только,2391.7,43
или,2345,44
еще,2323.9,45
бы,2322.4,46
себя,2272.8,47
один,2245.7,48
как,2212.7,49
уже,2179.2,50
до,2061.1,51
время,2015.7,52
если,1998.1,53
сам,1986.3,54
когда,1895.7,55
другой,1837.3,56
вот,1785.1,57
говорить,1755,58
наш,1731.8,59
мой,1720.3,60
знать,1713.8,61
стать,1621.8,62
при,1550.8,63
чтобы,1479.7,64
дело,1412.1,65
жизнь,1389.8,66
кто,1374.8,67
первый,1345.6,68
очень,1286.8,69
два,1285.1,70
день,1258.4,71
ее,1219.2,72
новый,1217.5,73
рука,1200.6,74
даже,1179.8,75
во,1167.8,76
со,1151.3,77
раз,1131.8,78
где,1129.2,79
там,1128.1,80
под,1126,81
можно,1125.9,82
ну,1114.6,83
какой,1091.7,84
после,1080.1,85
их,1076,86
работа,1058.3,87
без,1018.8,88
самый,1007.4,89
потом,1006.1,90
надо,993.2,91
хотеть,991.3,92
ли,981.7,93
слово,967.9,94
идти,957.1,95
Россия,952.2,96
большой,944.4,97
должен,944.2,98
место,926.6,99
иметь,906.7,100
ничто,902.8,101
то,902.4,102
сейчас,897.3,103
тут,879.2,104
лицо,878,105
каждый,875.9,106
друг,874.2,107
нет,874,108
теперь,871.8,109
ни,858.2,110
глаз,857.6,111
тоже,841.5,112
тогда,835.6,113
видеть,818.2,114
вопрос,805.8,115
через,805.4,116
да,801,117
здесь,796.8,118
дом,792.6,119
да,787.5,120
потому,769.3,121
сторона,768.3,122
какой-то,762.6,123
думать,755.5,124
сделать,743.5,125
страна,725.7,126
жить,725.5,127
чем,721.1,128
мир,714.7,129
об,714.5,130
последний,712.6,131
случай,709.7,132
голова,709.4,133
более,706.2,134
делать,701.1,135
что-то,667.6,136
смотреть,667.2,137
ребенок,658.3,138
просто,656.5,139
конечно,647.3,140
сила,645.8,141
российский,644.6,142
конец,634.7,143
Москва,633.5,144
перед,626.7,145
несколько,623.7,146
вид,620.1,147
система,617.8,148
всегда,611.9,149
работать,611.2,150
между,607.5,151
три,596.7,152
нет,589.2,153
понять,588.2,154
пойти,587.2,155
часть,585.4,156
спросить,573.9,157
город,573.4,158
дать,573.1,159
также,569.9,160
никто,562.2,161
понимать,559.7,162
получить,557.7,163
отношение,557.4,164
лишь,552.5,165
второй,552.4,166
именно,551.4,167
ваш,547.5,168
хотя,546.9,169
ни,543.5,170
сидеть,538.1,171
над,537,172
женщина,533.3,173
оказаться,531.9,174
русский,530.5,175
один,529.5,176
взять,525.8,177
прийти,523.3,178
являться,522.9,179
деньги,512.4,180
почему,507.2,181
вдруг,503.2,182
любить,503.1,183
стоить,501.9,184
почти,501.7,185
земля,494.4,186
общий,492.4,187
ведь,491.9,188
машина,490.4,189
однако,487.1,190
сразу,486,191
хорошо,485.7,192
вода,484.8,193
отец,484.1,194
высокий,483.3,195
остаться,482.7,196
выйти,480.9,197
много,480,198
проблема,474.9,199
начать,473.3,200
хороший,471.4,201
час,468.1,202
это,466.7,203
сегодня,463.5,204
право,461.4,205
совсем,460.5,206
нога,459.2,207
считать,455.3,208
главный,454.6,209
решение,453.4,210
увидеть,452.4,211
дверь,450.8,212
казаться,448.2,213
образ,445.9,214
писать,444.3,215
история,443.9,216
лучший,443.2,217
власть,435.6,218
закон,433.4,219
все,433.3,220
война,425.9,221
бог,425.4,222
голос,424.5,223
найти,424.1,224
поэтому,421.3,225
стоять,419.3,226
вообще,417.6,227
тысяча,416,228
больше,415.3,229
вместе,414.3,230
маленький,414.1,231
книга,413.9,232
некоторый,410.9,233
решить,409.7,234
любой,408.8,235
возможность,407.5,236
результат,403.1,237
ночь,402.8,238
стол,402.5,239
никогда,401.8,240
имя,401.7,241
область,400.2,242
молодой,400,243
пройти,398.4,244
например,398,245
статья,395,246
оно,394.7,247
число,393.5,248
компания,392.7,249
про,392.1,250
государственный,391.3,251
полный,390.6,252
принять,386.9,253
народ,385.6,254
никакой,383.7,255
советский,382.9,256
жена,376.8,257
настоящий,374,258
всякий,373.2,259
группа,372.8,260
развитие,372.6,261
процесс,371.7,262
суд,371.1,263
давать,370.7,264
ответить,370.4,265
старый,368.5,266
условие,368.1,267
твой,366.6,268
пока,366.3,269
средство,363.9,270
помнить,363.1,271
начало,361.4,272
ждать,360.2,273
свет,359.7,274
пора,358.2,275
путь,357.3,276
душа,356.8,277
куда,355.4,278
нужно,353.7,279
разный,352.6,280
нужный,351.9,281
уровень,348.5,282
иной,348.3,283
форма,347.8,284
связь,346.1,285
уж,344.4,286
минута,344.2,287
кроме,343.6,288
находиться,342.7,289
опять,342.2,290
многий,340.9,291
белый,339.6,292
собственный,338.3,293
улица,337.8,294
черный,337.5,295
написать,336.2,296
вечер,335.4,297
снова,334.4,298
основной,334.1,299
качество,331.7,300
мысль,331.6,301
дорога,330.1,302
мать,330.1,303
действие,329.3,304
месяц,328,305
оставаться,327.4,306
государство,326.4,307
язык,324.9,308
любовь,323.9,309
взгляд,323.8,310
мама,322.6,311
играть,319.1,312
далекий,318.3,313
лежать,318.1,314
нельзя,317.7,315
век,317.4,316
школа,316,317
подумать,315.6,318
уйти,315.6,319
цель,315.5,320
среди,314.9,321
общество,314.7,322
посмотреть,314.2,323
деятельность,313.5,324
организация,312.4,325
кто-то,312,326
вернуться,311.2,327
президент,311,328
комната,310.7,329
порядок,307.6,330
момент,306.8,331
театр,305.3,332
следовать,305.1,333
читать,304.4,334
письмо,304.3,335
подобный,301.6,336
следующий,301.4,337
утро,301.3,338
особенно,300.3,339
помощь,300.1,340
ситуация,298.8,341
роль,297.9,342
бывать,297.3,343
ходить,296.6,344
рубль,296.4,345
начинать,296,346
появиться,294.6,347
смысл,294.6,348
состояние,294.4,349
называть,293.4,350
рядом,291.8,351
квартира,290.9,352
назад,290.7,353
равный,289.7,354
из-за,289.6,355
орган,288.4,356
внимание,286,357
тело,285.9,358
труд,285.9,359
прийтись,285.5,360
хотеться,285.3,361
сын,285.1,362
мера,284.3,363
пять,284.3,364
смерть,284.1,365
живой,284,366
рынок,283.3,367
программа,282.6,368
задача,282.4,369
предприятие,281.6,370
известный,281.1,371
окно,280.8,372
вести,280.3,373
совершенно,280.3,374
военный,278.7,375
разговор,278.3,376
показать,277.7,377
правительство,277.7,378
важный,277,379
семья,276.6,380
великий,276.3,381
производство,275.6,382
простой,275.3,383
значит,274.9,384
третий,274.7,385
сколько,273.4,386
огромный,272.1,387
давно,272,388
политический,269.6,389
информация,269.2,390
действительно,268.6,391
положение,268.2,392
поставить,267.3,393
бояться,266.5,394
наконец,265.9,395
центр,265.9,396
происходить,263.6,397
ответ,263.3,398
муж,263,399
автор,262.1,400
все-таки,261.3,401
стена,261,402
существовать,260.9,403
даже,260.6,404
интерес,260.6,405
становиться,259.3,406
федерация,258.9,407
правило,258.8,408
оба,258.1,409
часто,257.8,410
московский,257.3,411
управление,256.5,412
слышать,256.1,413
быстро,255.7,414
смочь,255.1,415
заметить,253.9,416
как-то,253.2,417
мужчина,253.2,418
долго,253.1,419
правда,252.4,420
идея,250.8,421
партия,250.4,422
иногда,249.8,423
использовать,249.6,424
пытаться,249.4,425
готовый,248.5,426
чуть,248.3,427
зачем,247.7,428
представить,247.2,429
чувствовать,246.9,430
создать,245.9,431
совет,245.5,432
счет,245.4,433
сердце,245.1,434
движение,244.7,435
вещь,242.5,436
материал,242.4,437
неделя,242.2,438
чувство,242.2,439
затем,241.3,440
данный,241.1,441
заниматься,240.8,442
продолжать,240.6,443
красный,240.5,444
глава,240.2,445
ко,239.7,446
слушать,239.5,447
наука,239,448
узнать,238.1,449
ряд,238,450
Александр,237.8,451
газета,237.5,452
причина,237.2,453
против,236.5,454
плечо,236.4,455
современный,236.1,456
цена,236.1,457
план,235.3,458
приехать,234.4,459
речь,234.2,460
четыре,232.7,461
отвечать,232.4,462
точка,232.2,463
основа,231,464
товарищ,230.6,465
культура,230.2,466
слишком,230.1,467
рассказывать,230,468
вполне,229.8,469
далее,229.6,470
рассказать,229.4,471
данные,229,472
представлять,228.5,473
мнение,228.4,474
социальный,228.2,475
около,228.1,476
документ,226.8,477
институт,226.5,478
ход,226.5,479
брать,226.3,480
забыть,226,481
проект,225.9,482
ранний,225.7,483
встреча,224.9,484
особый,224.3,485
целый,222.5,486
директор,222.2,487
провести,222,488
спать,221.9,489
плохой,221.6,490
может,221,491
впрочем,220.7,492
сильный,220.5,493
наверное,220.2,494
скорый,220,495
ведь,219.9,496
срок,219.7,497
палец,219.1,498
опыт,218.8,499
помочь,218.8,500
больше,218.7,501
приходить,218.2,502
служба,218.1,503
крупный,217.3,504
Андрей,217.2,505
внутренний,216.1,506
просить,215.9,507
вспомнить,215.5,508
открыть,214.8,509
привести,214.7,510
судьба,213.9,511
пока,213.4,512
девушка,213.3,513
поскольку,212.8,514
очередь,212.5,515
лес,211.5,516
пусть,211,517
экономический,210.6,518
оставить,210.5,519
правый,210.4,520
состав,209.8,521
Сергей,209.5,522
словно,209.2,523
федеральный,208.9,524
спрашивать,208.3,525
принимать,207.7,526
член,207.4,527
искать,206.9,528
близкий,206.8,529
количество,206.7,530
похожий,206.5,531
событие,206.5,532
объект,206.4,533
зал,206.3,534
создание,206.1,535
войти,205.5,536
различный,205.5,537
значение,205.1,538
назвать,205.1,539
достаточно,204.7,540
период,204.2,541
хоть,203.9,542
шаг,203.8,543
необходимый,203.7,544
успеть,203.4,545
произойти,203.2,546
брат,203,547
искусство,202.6,548
единственный,202.2,549
легкий,202.1,550
структура,202.1,551
выходить,201.6,552
номер,201.2,553
предложить,201.2,554
пример,201.2,555
пить,200.9,556
исследование,200.5,557
гражданин,199.4,558
глядеть,199.3,559
человеческий,199.3,560
игра,199,561
начальник,198.9,562
сей,198.6,563
рост,198.4,564
ехать,198.2,565
международный,198.2,566
тема,198.1,567
принцип,197.9,568
дорогой,197.7,569
попасть,197.7,570
десять,197.4,571
начаться,197.4,572
верить,197.1,573
метод,197,574
тип,197,575
фильм,196.8,576
небольшой,196.6,577
держать,196.5,578
либо,195.7,579
позволять,194.3,580
край,194,581
местный,193.3,582
менее,192.9,583
США,192.9,584
гость,192.7,585
купить,192.7,586
уходить,192.7,587
собираться,192.6,588
воздух,192.2,589
туда,191.7,590
относиться,191.6,591
бывший,191.5,592
требовать,190.9,593
характер,190.7,594
борьба,190.5,595
использование,190.3,596
кстати,190.3,597
подойти,190,598
Иван,189.9,599
РФ,189.4,600
размер,189.3,601
удаться,189.1,602
образование,188.9,603
получать,188.2,604
Владимир,188,605
мальчик,188,606
кровь,187.8,607
район,187.8,608
небо,187.6,609
американский,186.5,610
армия,186.4,611
класс,185.8,612
представитель,185.7,613
участие,185.6,614
девочка,185.1,615
политика,184.9,616
сначала,184.6,617
герой,184,618
картина,183.9,619
широкий,183.9,620
доллар,183.1,621
спина,183.1,622
территория,182.9,623
мировой,182.3,624
пол,181.9,625
тяжелый,180.3,626
довольно,180.2,627
поле,180.2,628
ж,179.9,629
изменение,179.8,630
умереть,179.7,631
более,179.2,632
направление,179.2,633
рисунок,179.2,634
течение,179.2,635
возможный,179.1,636
церковь,178.6,637
банк,178.1,638
отдельный,177.5,639
средний,177.3,640
красивый,177.2,641
сцена,177.2,642
население,176.5,643
большинство,176.1,644
сесть,175.9,645
двадцать,175.8,646
случиться,175.8,647
музыка,175.7,648
короткий,175.6,649
правда,175.5,650
проходить,175.4,651
составлять,175,652
свобода,174.9,653
память,174.5,654
приходиться,174.5,655
причем,174.4,656
команда,174.2,657
установить,174,658
союз,173.9,659
будто,173.8,660
поднять,173.8,661
врач,173.1,662
серьезный,173,663
договор,172.8,664
стараться,172.8,665
уметь,172.5,666
встать,172.1,667
дерево,171.9,668
интересный,171.9,669
факт,171.3,670
добрый,171.1,671
всего,170.7,672
хозяин,170.6,673
национальный,170.3,674
однажды,170.2,675
длинный,170.1,676
природа,169.9,677
домой,169.6,678
страшный,169.1,679
прошлый,169,680
будто,168.5,681
общественный,168.1,682
угол,168.1,683
чтоб,168,684
телефон,167.8,685
позиция,167.6,686
проводить,167.6,687
скоро,167.3,688
наиболее,167.2,689
двор,166.9,690
обычно,166.7,691
Сталин,166.7,692
бросить,166.5,693
разве,166.4,694
писатель,166.3,695
самолет,166.1,696
объем,165.8,697
далеко,165.5,698
род,165.5,699
солнце,165.2,700
вера,165.1,701
берег,164.7,702
спектакль,164.7,703
фирма,164.4,704
Николай,164.2,705
способ,164.2,706
завод,164,707
цвет,163.6,708
трудно,163.3,709
журнал,162,710
руководитель,162,711
специалист,161.9,712
возможно,161.8,713
детский,161.8,714
точно,161.7,715
объяснить,161.4,716
оценка,161.4,717
единый,161.3,718
снять,161.3,719
определенный,161.2,720
низкий,160.7,721
нравиться,160.6,722
услышать,160.4,723
регион,160.3,724
связать,160.2,725
песня,160.1,726
процент,160.1,727
родитель,160,728
позволить,159.6,729
чужой,159.6,730
море,159.5,731
странный,159.5,732
требование,159.4,733
чистый,159,734
весьма,158.8,735
какой-нибудь,158.8,736
основание,158.8,737
половина,158.8,738
поехать,158.4,739
положить,158.1,740
входить,157.9,741
легко,157.9,742
поздний,157.7,743
роман,157.7,744
круг,157.4,745
анализ,157,746
стихи,157,747
автомобиль,156.9,748
специальный,156.8,749
экономика,156.3,750
литература,156,751
бумага,155.8,752
вместо,155.7,753
впервые,155.5,754
видно,155.2,755
научный,155.1,756
оказываться,155.1,757
поэт,155.1,758
показывать,155,759
степень,155,760
вызвать,154.9,761
касаться,154.7,762
господин,154.6,763
надежда,154.5,764
сложный,154.5,765
Борис,154.4,766
вокруг,154.4,767
предмет,154.4,768
отметить,154.3,769
заявить,154.2,770
вариант,154.1,771
министр,154.1,772
откуда,154,773
реальный,153.8,774
граница,153.7,775
действовать,153.5,776
дух,153.5,777
модель,153.5,778
операция,153.3,779
пара,152.7,780
сон,152.7,781
немного,151.9,782
название,151.8,783
ум,151.5,784
повод,151.2,785
старик,151,786
способный,150.5,787
мало,150.4,788
миллион,150.4,789
малый,150.2,790
старший,149.5,791
успех,149.5,792
практически,149.4,793
получиться,149.3,794
личный,149.2,795
счастье,149.2,796
необходимо,149,797
свободный,149,798
ребята,148.9,799
обычный,148.7,800
кабинет,148.5,801
прекрасный,148.4,802
СССР,148.3,803
высший,147.8,804
Михаил,147.4,805
кричать,147.3,806
прежде,147.3,807
магазин,147.2,808
пространство,147.2,809
выход,147,810
остановиться,147,811
удар,146.8,812
база,146.7,813
знание,146.4,814
текст,146.2,815
сюда,146.1,816
темный,146,817
защита,145.9,818
предлагать,145.9,819
руководство,145.7,820
вовсе,145.3,821
площадь,145.2,822
сознание,145.2,823
гражданский,144.7,824
убить,144.7,825
возраст,144.5,826
молчать,144.5,827
согласиться,144.2,828
участник,144.2,829
участок,144.2,830
рано,144.1,831
пункт,144,832
несмотря,143.9,833
сильно,143.9,834
столь,143.9,835
сообщить,143.8,836
линия,143.7,837
бежать,143.6,838
желание,143.6,839
папа,143.4,840
кажется,143.2,841
петь,143.2,842
доктор,143.1,843
губа,143,844
известно,143,845
дома,142.5,846
вызывать,142.4,847
дочь,142.4,848
показаться,142.4,849
среда,142.4,850
председатель,142.3,851
представление,142.2,852
солдат,142.2,853
художник,142.2,854
принести,141.9,855
волос,141.8,856
оружие,141.8,857
выглядеть,141.7,858
соответствие,141,859
никак,140.5,860
ветер,140.3,861
внешний,140.3,862
парень,140.3,863
служить,140.3,864
зрение,140.2,865
попросить,140.2,866
генерал,140,867
состоять,139.9,868
огонь,139.8,869
отдать,139.8,870
боевой,139.6,871
понятие,139.4,872
строительство,139.4,873
ухо,139.3,874
Европа,139.2,875
выступать,138.8,876
грудь,138.8,877
нос,138.8,878
ставить,138.7,879
завтра,138.5,880
возникать,138.4,881
когда,138.4,882
страх,138.4,883
услуга,138.3,884
рабочий,138,885
что-нибудь,137.6,886
глубокий,137.3,887
содержание,137.3,888
радость,137.2,889
безопасность,137.1,890
надеяться,137.1,891
продукт,136.7,892
видимо,136.4,893
комплекс,136.3,894
бизнес,136.2,895
подняться,136.2,896
вспоминать,135.9,897
Иванович,135.9,898
мало,135.8,899
сад,135.8,900
долгий,135.5,901
одновременно,135.4,902
называться,135.3,903
сотрудник,135.1,904
лето,135,905
тихо,135,906
зато,134.9,907
прямой,134.8,908
курс,134.5,909
помогать,134.5,910
предложение,134.5,911
финансовый,134.5,912
открытый,134.4,913
почему-то,134.4,914
значить,134,915
возникнуть,133.6,916
рот,133.6,917
где-то,133.5,918
технология,133.5,919
знакомый,133.4,920
недавно,133.3,921
реформа,133.1,922
отсутствие,132.4,923
нынешний,132.3,924
собака,132.2,925
камень,131.9,926
будущее,131.4,927
звать,131.3,928
рассказ,131.3,929
контроль,131.2,930
позвонить,131,931
река,131,932
хватать,130.9,933
продукция,130.8,934
сумма,130.6,935
техника,130.5,936
исторический,130.4,937
вновь,130.3,938
народный,130.3,939
прямо,130.3,940
ибо,130,941
выпить,129.9,942
здание,129.9,943
сфера,129.5,944
знаменитый,129.4,945
иначе,129.2,946
потерять,129.2,947
необходимость,129.1,948
больший,128.9,949
фонд,128.6,950
иметься,128.4,951
вперед,128.1,952
подготовка,127.9,953
вчера,127.6,954
лист,127.6,955
пустой,127.5,956
очередной,127.4,957
республика,127.4,958
хозяйство,127.2,959
Виктор,127.1,960
полностью,127,961
получаться,127,962
учиться,126.9,963
плохо,126.5,964
воля,126.4,965
судебный,126.1,966
бюджет,126,967
возвращаться,125.8,968
расти,125.8,969
снег,125.2,970
деревня,125.1,971
обнаружить,125,972
мужик,124.7,973
постоянно,124.6,974
зеленый,124.4,975
элемент,124.4,976
обстоятельство,124.2,977
почувствовать,124.2,978
немец,124.1,979
многое,124,980
победа,124,981
источник,123.7,982
немецкий,123.6,983
золотой,123.5,984
передать,123.5,985
технический,123.4,986
нормальный,123.2,987
едва,123.1,988
желать,123.1,989
ожидать,123,990
некий,122.8,991
звезда,122.7,992
городской,122.4,993
выбор,122,994
Америка,121.9,995
соответствующий,121.8,996
масса,121.7,997
составить,121.6,998
итог,121.5,999
сестра,121.3,1000
